,id,latitude,longitude,city,street,number,elevation
114,139,50.17268,19.91511,Owczary,Gielniówka,,337.94
115,2066,50.100569,20.122561,Kraków-Nowa Huta,Jaskrowa,9A,218.32
116,270,50.15751,19.845108,Wielka Wieś,Szkolna,5,384.43
117,506,50.166246,19.872357,,Orlich Gniazd,,349.91
118,244,50.173598,19.914051,Owczary,,,332.63
119,492,50.172249,19.8985,,Krakowska,20,372.36
120,521,50.120655,19.78093,Zabierzów,Przy Torze,63,232.68
121,2832,50.174309,19.987906,Zerwana,,,250.14
122,5761,49.920603,19.935964,Olszowice,,,300.76
123,2545,50.116828,20.11815,Dojazdów,,,234.05
124,290,49.996944,20.129623,Ochmanów,,,230.39
125,349,50.165009,20.039921,Sieborowice,,,316.26
126,366,50.180222,19.970085,Wilczkowice,,,277.77
127,2554,49.920471,19.987114,Łyczanka,Górska,114,320.26
128,503,50.13258,19.784113,Bolechowice,Zielona,245,247.02
129,248,50.174945,19.877311,Grębynice,,,330.64
130,291,50.003254,20.140881,Zakrzów,,,219.05
131,2827,50.182739,19.977823,Wilczkowice,,,252.74
132,352,50.185143,19.947767,Kozierów,,,359.71
133,2662,49.949956,19.801415,Rzozów,,,225.09
134,615,50.15202,19.803083,Zelków,Krakowska,225,346.38
135,413,50.147556,19.793444,Bolechowice,Szkolna,37,281.29
136,2651,49.93511,20.06409,Raciborsko,,,363.69
137,988,49.914303,19.903179,Włosań,Królowej Polski,142,339.89
138,2869,50.136154,20.113141,Luborzyca,,,288.97
139,207,50.174264,19.849742,Prądnik Korzkiewski,Ojca Smolikowskiego,3,301.54
140,332,50.175018,20.039064,Zagórzyce Dworskie,,,315.7
141,274,50.167398,19.828381,Biały Kościół,Królowej Jadwigi,4,400.49
142,2436,50.179558,19.860256,Maszyce,,,374.23
143,1018,50.16917,19.82711,Biały Kościół,Krakowska,172,399.85
144,784,49.963898,20.119417,Wieliczka,,,336.64
145,489,50.103592,19.740849,Kleszczów,,,359.81
146,6116,50.113705,19.747568,,Droga Krajowa 79,28,258.19
147,2383,49.908372,19.966872,Siepraw,Jana Pawła II,118,270.42
148,2739,50.145145,20.109311,Wysiołek Luborzycki,,,255.02
149,6072,50.040984,20.166885,Niepołomice,Krakowska,14,191.46
150,350,50.183804,20.022509,Wola Więcławska,,,275.57
151,2714,50.163351,20.082435,,Szkolna,,287.89
152,429,49.985386,20.145693,Bodzanów,,,265.73
153,411,50.158688,19.794548,Zelków,Jana Pawła II,22,399.95
154,810,50.013088,20.165509,Podłęże,,,210.8
155,2655,50.135612,19.759342,Więckowice,Słoneczna,34,269.29
156,877,50.002449,20.160959,Zakrzowiec,,,209.43
157,514,50.150635,19.777849,Karniowice,,,297.88
158,318,50.194065,19.900494,Szczodrkowice,,,375.5
159,527,50.197788,19.945341,Damice,,,343.86
160,2419,49.904956,19.996223,Siepraw,Kawęciny,30,277.12
161,3071,50.169923,19.80563,,Spacerowa,4,376.59
162,677,49.954682,20.126483,Sułów,,,401.59
163,2581,49.937819,20.102379,Grajów,Grajów,4,358.92
164,412,50.14645,19.763271,,Jana Pawła II,61,276.16
165,2975,49.989169,19.727434,Wołowice,,,210.14
166,6095,50.096481,19.718288,Morawica,Brzoskwinia,186,286.85
167,319,50.196609,19.87323,Cianowice Duże,,,402.72
168,2158,50.193085,19.853016,Smardzowice,,,400.27
169,488,50.123322,19.731733,Niegoszowice,,,257.26
170,2454,49.901447,20.019805,Czechówka,,,286.57
171,2090,49.992714,20.172606,Słomiróg,,,246.7
172,282,50.035861,20.189025,Niepołomice,Skarbowa,38,190.24
173,513,50.137981,19.738478,,Krakowska,7,277.19
174,900,49.895054,19.876371,Głogoczów,,,241.5
175,716,50.060741,19.693943,Czułów,,,287.5
176,399,50.205261,20.013813,Widoma,,,326.96
177,867,50.10684,19.70766,Nielepice,Długa,,302.87
178,2410,50.150926,19.745549,Kobylany,Leśna,1,329.74
179,296,50.011323,20.194639,Staniątki,,,204.12
180,317,50.213379,19.9042,Rzeplin,,,385.16
181,260,50.184018,19.791425,Bębło,Krakowska,76,453.85
182,158,50.18413,19.791083,Bębło,Krakowska,76,452.75
183,298,49.992402,20.189256,Zagórze,Stefana Wyszyńskiego,,224.03
184,2619,49.88285,19.91753,Krzyszkowice,,,257.57
185,5707,50.110119,19.700527,Nielepice,Długa,,270.47
186,388,50.122887,19.707764,Rudawa,Polaczka,25,246.7
187,723,50.194679,19.802392,Czajowice,Dworska,7,454.74
188,430,49.946087,20.156784,Łazany,,,339.55
189,510,50.112839,19.695131,Młynka,Kalwaryjska,104,262.26
190,3113,50.169645,19.751342,Będkowice,Brzozowa,14,418.03
191,516,50.124508,19.701921,Pisary,,,251.86
192,2872,50.176347,20.130322,Goszyce,,53,252.29
193,772,50.178125,19.760381,Będkowice,Kawiory,81,424.25
194,445,50.222931,19.978359,,Droga Wojewódzka 773,77,276.68
195,2564,49.882079,20.021574,Zakliczyn,,250,288.72
196,314,50.224895,19.912394,Przybysławice,,,333.63
197,6074,50.032048,20.21888,Niepołomice,Szkolna,1,201.84
198,286,49.976503,20.196247,Suchoraba,,,274.42
